Model,AUC-ROC,AUC-PR,F1,HR@10,NDCG@10
Logistic Regression,0.6266455701940874,0.8263434360210636,0.8649276398070395,0.827751872262258,0.4733613931489745
XGBoost,0.7203947275853373,0.8951937187693563,0.8643803932034516,0.9943125618199802,0.9497722183334525
Wide & Deep,0.6597937894562127,0.8437598642994952,0.8597556078251392,0.8006923837784372,0.4378860475348367
