Model,AUC-ROC,AUC-PR,F1,HR@10,NDCG@10
Logistic Regression,0.6903838740129818,0.8481864011341054,0.86969835409747,0.9458380180669174,0.7591987948493185
XGBoost,0.73846234950015,0.9022334694950515,0.8652583465338154,0.992905051758229,0.9587868002816837
Wide & Deep,0.7576677416032511,0.8824398636518442,0.863363035040726,0.9940293878184003,0.9666996900088375
