Model,AUC-ROC,AUC-PR,F1,HR@10,NDCG@10
Logistic Regression,0.6236970254792567,0.8249217022693206,0.8646370023419204,0.8289529461636287,0.47442339831936337
XGBoost,0.7234248441049089,0.8961583974169276,0.864370781394211,0.9946658188497951,0.9552865242558191
Wide & Deep,0.6604276253091872,0.845743264654096,0.860140178408884,0.8084993641373464,0.44885742592961947
