Model,AUC-ROC,AUC-PR,F1,HR@10,NDCG@10
Logistic Regression,0.691994321326733,0.8490620810770647,0.8698411118438243,0.9450626138874888,0.7539243498509122
XGBoost,0.7400926069500053,0.9031176382992221,0.8652478839177751,0.9940293878184003,0.9605717698392959
Wide & Deep,0.6805428725706104,0.8493135574161391,0.8624370185168734,0.9488233241577172,0.7487357668859944
